_id_x,Location_id,time,precipitation_sum (mm),_id_y,Lat,Lon
652fe077f3c7661538eba282,85,30/09/2023,4.1,652fe06ef3c7661538eae2d6,16.15487468,108.2516938
652fe077f3c7661538eba283,86,25/09/2023,73.1,652fe06ef3c7661538eae2d7,16.15487468,108.2519767
652fe077f3c7661538eba284,86,26/09/2023,2.1,652fe06ef3c7661538eae2d7,16.15487468,108.2519767
652fe077f3c7661538eba285,86,27/09/2023,9.6,652fe06ef3c7661538eae2d7,16.15487468,108.2519767
652fe077f3c7661538eba286,86,28/09/2023,9.2,652fe06ef3c7661538eae2d7,16.15487468,108.2519767
652fe077f3c7661538eba287,86,29/09/2023,13.2,652fe06ef3c7661538eae2d7,16.15487468,108.2519767
652fe077f3c7661538eba288,86,30/09/2023,4.1,652fe06ef3c7661538eae2d7,16.15487468,108.2519767
652fe077f3c7661538eba289,87,25/09/2023,73.1,652fe06ef3c7661538eae2d8,16.15487468,108.2522596
652fe077f3c7661538eba28a,87,26/09/2023,2.1,652fe06ef3c7661538eae2d8,16.15487468,108.2522596
652fe077f3c7661538eba28b,87,27/09/2023,9.6,652fe06ef3c7661538eae2d8,16.15487468,108.2522596
652fe077f3c7661538eba28c,87,28/09/2023,9.2,652fe06ef3c7661538eae2d8,16.15487468,108.2522596
652fe077f3c7661538eba28d,87,29/09/2023,13.2,652fe06ef3c7661538eae2d8,16.15487468,108.2522596
652fe077f3c7661538eba28e,87,30/09/2023,4.1,652fe06ef3c7661538eae2d8,16.15487468,108.2522596
652fe077f3c7661538eba28f,88,25/09/2023,73.1,652fe06ef3c7661538eae2d9,16.15487468,108.2525424
652fe077f3c7661538eba290,88,26/09/2023,2.1,652fe06ef3c7661538eae2d9,16.15487468,108.2525424
652fe077f3c7661538eba291,88,27/09/2023,9.6,652fe06ef3c7661538eae2d9,16.15487468,108.2525424
652fe077f3c7661538eba292,88,28/09/2023,9.2,652fe06ef3c7661538eae2d9,16.15487468,108.2525424
652fe077f3c7661538eba293,88,29/09/2023,13.2,652fe06ef3c7661538eae2d9,16.15487468,108.2525424
652fe077f3c7661538eba294,88,30/09/2023,4.1,652fe06ef3c7661538eae2d9,16.15487468,108.2525424
652fe077f3c7661538eba295,89,25/09/2023,73.1,652fe06ef3c7661538eae2da,16.15487468,108.2528253
652fe077f3c7661538eba296,89,26/09/2023,2.1,652fe06ef3c7661538eae2da,16.15487468,108.2528253
652fe077f3c7661538eba297,89,27/09/2023,9.6,652fe06ef3c7661538eae2da,16.15487468,108.2528253
652fe077f3c7661538eba298,89,28/09/2023,9.2,652fe06ef3c7661538eae2da,16.15487468,108.2528253
652fe077f3c7661538eba299,89,29/09/2023,13.2,652fe06ef3c7661538eae2da,16.15487468,108.2528253
652fe077f3c7661538eba29a,89,30/09/2023,4.1,652fe06ef3c7661538eae2da,16.15487468,108.2528253
652fe077f3c7661538eba29b,90,25/09/2023,73.1,652fe06ef3c7661538eae2db,16.15487468,108.2531082
652fe077f3c7661538eba29c,90,26/09/2023,2.1,652fe06ef3c7661538eae2db,16.15487468,108.2531082
